nome_usuario,senha,nome,telefone,permissao
alinesouza,123456,Aline Souza,(11)98765-4321,administrador
joaosilva,jsc234,Joao Silva,(21)99876-5432,cliente
mariaoliveira,moc234,Maria Oliveira,(31)91234-5678,cliente
pedrosouza,psc234,Pedro Souza,(41)98765-1234,cliente
anacosta,act234,Ana Costa,(51)96543-2109,profissional
lucaspereira,lpt234,Lucas Pereira,(61)93456-7890,profissional
beatrizalmeida,bat234,Beatriz Almeida,(71)96789-3456,profissional
00,00,Admin Teste,5145879338563,administrador
admin,admin,administrador teste,(55)99988-8587,administrador
01,01,Profissional Teste,8999999999,profissional
02,02,Cliente Teste,8595989645,cliente
mariafreitas,123,Maria Freitas,(51)98756-8975,cliente
nomesobrenome,123,Nome Sobrenome,(09)00000-0000,cliente
mariacristina,1233,Maria Cristina,516666,cliente
